Producto,Mercado,Week_Start_Date,Latitude,Longitude,Precio_Unidad
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-06-10,-36.57060167406145,-72.09974646092063,263.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-06-17,-36.57060167406145,-72.09974646092063,236.11111111111114
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-06-24,-36.57060167406145,-72.09974646092063,225.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-07-01,-36.57060167406145,-72.09974646092063,215.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-07-29,-36.57060167406145,-72.09974646092063,235.41666666666666
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-08-05,-36.57060167406145,-72.09974646092063,236.66666666666666
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-08-12,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-08-19,-36.57060167406145,-72.09974646092063,266.81481481481484
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-08-26,-36.57060167406145,-72.09974646092063,273.1481481481482
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-09-02,-36.57060167406145,-72.09974646092063,289.75
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-12-02,-36.57060167406145,-72.09974646092063,233.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-12-09,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-12-16,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-12-23,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-03-02,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-03-09,-36.57060167406145,-72.09974646092063,206.48148148148144
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-03-16,-36.57060167406145,-72.09974646092063,209.12222222222218
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-03-23,-36.57060167406145,-72.09974646092063,254.62962962962965
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-05-04,-36.57060167406145,-72.09974646092063,430.91666666666663
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-06-01,-36.57060167406145,-72.09974646092063,263.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-06-22,-36.57060167406145,-72.09974646092063,347.22222222222223
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-06-29,-36.57060167406145,-72.09974646092063,393.3888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-07-06,-36.57060167406145,-72.09974646092063,373.5111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-07-13,-36.57060167406145,-72.09974646092063,512.5
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-07-27,-36.57060167406145,-72.09974646092063,377.2941176470588
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-08-03,-36.57060167406145,-72.09974646092063,292.896
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-08-10,-36.57060167406145,-72.09974646092063,313.952
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-08-24,-36.57060167406145,-72.09974646092063,813.5
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-08-31,-36.57060167406145,-72.09974646092063,568.6222222222223
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-09-07,-36.57060167406145,-72.09974646092063,590.09
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-09-14,-36.57060167406145,-72.09974646092063,760.35
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-09-21,-36.57060167406145,-72.09974646092063,573.7733333333334
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-10-12,-36.57060167406145,-72.09974646092063,192.5
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-10-19,-36.57060167406145,-72.09974646092063,195.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-10-26,-36.57060167406145,-72.09974646092063,195.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-11-09,-36.57060167406145,-72.09974646092063,181.975
Cebolla,Terminal Hortofrutícola Agro Chillán,2020-12-28,-36.57060167406145,-72.09974646092063,187.5
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-01-04,-36.57060167406145,-72.09974646092063,191.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-01-18,-36.57060167406145,-72.09974646092063,190.7
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-01-25,-36.57060167406145,-72.09974646092063,822.4074074074074
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-03-01,-36.57060167406145,-72.09974646092063,562.5555555555555
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-03-08,-36.57060167406145,-72.09974646092063,320.72222222222223
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-03-15,-36.57060167406145,-72.09974646092063,580.2222222222222
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-03-22,-36.57060167406145,-72.09974646092063,263.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-03-29,-36.57060167406145,-72.09974646092063,270.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-05-17,-36.57060167406145,-72.09974646092063,283.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-05-24,-36.57060167406145,-72.09974646092063,275.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-06-14,-36.57060167406145,-72.09974646092063,283.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-06-21,-36.57060167406145,-72.09974646092063,265.625
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-07-05,-36.57060167406145,-72.09974646092063,272.66666666666663
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-08-09,-36.57060167406145,-72.09974646092063,239.33333333333331
Cebolla,Terminal Hortofrutícola Agro Chillán,2021-09-27,-36.57060167406145,-72.09974646092063,193.75
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-02-28,-36.57060167406145,-72.09974646092063,472.22222222222223
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-03-07,-36.57060167406145,-72.09974646092063,490.7407407407407
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-03-14,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-03-21,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-03-28,-36.57060167406145,-72.09974646092063,412.037037037037
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-04-04,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-04-11,-36.57060167406145,-72.09974646092063,451.3888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-05-02,-36.57060167406145,-72.09974646092063,527.7777777777778
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-05-09,-36.57060167406145,-72.09974646092063,419.0476190476191
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-05-16,-36.57060167406145,-72.09974646092063,550.925925925926
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-05-23,-36.57060167406145,-72.09974646092063,399.99833333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-05-30,-36.57060167406145,-72.09974646092063,432.77777777777777
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-06-06,-36.57060167406145,-72.09974646092063,438.0952380952381
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-06-13,-36.57060167406145,-72.09974646092063,538.1944444444445
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-06-20,-36.57060167406145,-72.09974646092063,380.37037037037044
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-07-11,-36.57060167406145,-72.09974646092063,405.5555555555556
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-07-18,-36.57060167406145,-72.09974646092063,456.3492063492063
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-07-25,-36.57060167406145,-72.09974646092063,638.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-08-01,-36.57060167406145,-72.09974646092063,407.5925925925926
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-08-08,-36.57060167406145,-72.09974646092063,607.7777777777777
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-08-15,-36.57060167406145,-72.09974646092063,647.2222222222222
